,choice_0,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,n_people
1319,14,27,24,4,25,5,15,4,9,10,4
2916,11,21,5,17,16,21,1,14,24,25,5
443,6,27,1,10,17,25,14,9,10,16,3
3062,21,29,23,11,15,1,10,17,6,29,4
4529,15,17,26,29,8,21,4,5,5,1,5
3353,3,29,17,3,20,1,14,4,20,13,6
2984,24,1,4,28,8,22,17,19,29,10,4
307,1,11,13,3,26,3,7,13,17,21,4
3660,12,11,22,9,17,5,29,5,17,23,5
3528,3,10,16,27,15,1,9,5,4,18,7
1739,27,19,15,1,11,11,8,8,20,27,3
3604,17,27,7,11,3,25,19,8,3,15,5
1675,27,6,7,15,7,4,11,1,17,5,2
1654,13,17,8,27,12,13,13,9,11,21,5
270,21,11,14,27,3,6,30,16,5,10,6
35,11,27,30,19,7,27,29,20,8,15,3
4095,15,24,29,8,5,9,4,1,13,29,5
4239,26,25,9,3,17,5,1,9,15,9,4
984,2,21,13,29,5,25,26,4,11,1,5
4025,27,23,30,21,27,25,9,1,12,7,3
3416,4,15,1,19,24,2,5,6,21,7,6
816,17,6,8,17,1,29,27,6,8,2,4
4101,3,5,19,16,23,9,27,11,4,16,4
1004,15,1,27,19,7,4,10,7,6,22,2
3980,15,1,17,23,27,25,16,11,18,8,3
1635,29,25,11,1,11,7,7,10,4,3,4
3263,15,9,19,23,11,4,8,17,13,26,7
2038,6,13,11,18,17,3,1,22,12,29,5
2247,23,19,7,25,5,15,7,23,4,15,5
3150,13,20,27,18,5,16,5,7,3,15,3
3145,10,1,28,7,9,11,16,18,23,25,4
2583,7,17,3,4,25,18,19,12,5,3,2
577,11,27,7,13,4,17,15,23,17,29,4
3372,18,4,21,25,7,23,26,21,1,10,4
3822,13,5,12,21,1,4,25,19,7,23,4
3693,15,3,10,8,1,13,17,13,15,2,4
671,21,7,14,16,14,6,11,18,28,20,4
1052,1,11,4,5,4,21,17,23,23,3,5
2314,13,8,29,5,15,3,16,27,7,13,7
4555,1,11,6,21,16,17,29,21,15,9,6
1287,1,5,13,28,6,30,9,7,26,6,4
2133,18,3,27,9,8,25,23,28,11,25,3
4370,5,22,5,24,17,9,15,10,17,21,7
179,9,2,1,19,12,11,17,21,14,25,5
3003,6,5,23,18,4,17,7,15,8,3,6
1107,23,5,19,5,14,18,16,15,21,7,4
600,6,3,10,1,12,21,7,23,5,20,4
4933,15,15,10,23,7,11,3,9,7,4,2
4934,16,9,4,13,9,30,10,29,15,1,4
1386,5,10,23,7,24,21,15,8,11,1,4
3194,21,10,7,19,29,18,22,17,17,3,2
4565,3,11,21,1,25,11,7,26,22,21,4
4617,17,7,13,27,8,11,6,7,18,3,4
117,29,1,7,11,6,3,22,4,17,17,6
1559,10,25,5,19,11,13,10,17,18,8,8
3785,25,17,7,29,29,10,28,17,4,26,4
1087,8,13,1,27,11,11,17,19,16,23,5
4904,6,26,14,30,16,12,3,4,27,5,3
3408,9,7,19,21,27,18,2,25,21,18,6
2641,8,19,20,26,9,17,18,3,29,5,5
2758,11,7,21,13,5,26,10,4,29,18,3
3902,15,27,1,17,7,8,18,14,25,23,5
1713,17,10,1,13,15,17,27,8,15,7,6
3781,18,4,6,9,1,23,7,12,9,17,4
2339,15,28,18,27,24,17,6,14,15,10,4
1837,1,3,15,8,9,24,5,29,19,17,3
3464,4,17,5,8,5,14,15,23,1,6,7
1968,17,7,17,3,27,19,3,24,4,8,4
1597,1,16,30,29,11,4,3,15,2,9,8
364,30,8,15,9,5,1,9,11,23,25,3
428,13,15,27,13,7,26,6,19,3,4,8
3481,5,8,21,29,17,5,17,9,7,1,4
4197,13,21,3,1,5,9,29,10,18,27,2
4230,4,21,1,19,12,13,30,13,25,23,2
1332,25,11,8,5,1,15,23,28,23,19,3
780,24,29,19,7,4,11,10,5,8,6,4
1474,7,30,15,6,13,29,9,25,27,4,3
1818,7,2,10,5,13,3,19,4,10,25,3
2559,9,24,3,6,17,1,17,11,5,21,5
2658,13,5,9,4,11,6,10,4,6,21,4
1685,23,3,11,5,27,5,29,12,28,11,6
2637,10,17,1,8,5,24,4,23,6,23,4
4787,7,10,6,25,13,6,25,1,19,30,5
4347,27,25,5,15,21,17,13,22,10,15,4
2259,1,3,10,17,13,16,13,27,11,7,4
1303,25,12,15,15,23,3,17,15,25,28,3
1572,25,12,9,8,4,23,16,3,23,9,8
2590,3,17,18,13,9,19,13,25,7,13,7
4599,1,17,15,29,11,13,13,9,11,9,5
2570,1,8,17,10,21,21,10,17,15,29,5
9,1,27,13,16,9,7,29,15,15,10,7
4319,6,6,16,13,3,28,7,23,21,7,4
2541,17,11,7,23,19,21,27,6,8,14,6
4154,7,6,1,15,12,3,23,8,7,17,2
1755,21,11,27,23,5,3,14,19,5,8,4
4849,11,11,27,18,18,17,9,25,19,1,6
910,15,18,16,15,3,7,25,17,23,22,3
1403,27,5,8,20,7,3,27,26,18,21,4
1160,29,11,17,24,1,6,4,25,5,27,2
3450,3,1,11,22,12,29,23,13,29,11,2
4182,15,15,6,9,4,17,27,9,8,15,4
3244,21,6,29,23,27,25,22,5,12,10,6
4757,23,23,1,22,10,21,19,13,17,19,4
1926,16,19,19,25,10,29,3,1,20,29,3
1661,13,27,6,14,1,29,7,7,4,23,5
287,15,4,29,26,25,1,5,4,5,3,4
699,12,11,14,5,30,7,25,18,13,15,3
1726,3,26,19,23,29,18,9,6,4,28,6
3639,1,7,3,23,11,13,19,12,14,7,7
1265,3,26,6,1,13,17,10,19,16,5,3
2378,8,21,17,25,22,27,30,30,25,16,2
2818,25,17,8,27,3,13,20,11,22,9,6
4949,4,8,14,24,23,20,25,18,27,10,3
325,1,3,8,12,3,8,5,18,23,19,2
3587,3,16,7,20,19,25,17,24,9,19,3
1789,1,8,9,28,27,22,25,11,16,22,6
2218,12,21,17,6,11,27,9,22,7,15,5
2657,9,3,1,15,4,5,8,16,7,11,2
1274,27,17,17,7,4,19,3,13,6,11,3
338,23,29,17,12,15,3,7,17,11,5,4
2191,1,28,5,15,25,21,19,12,5,3,3
2174,19,23,4,29,22,21,14,17,25,6,2
2521,1,18,4,6,9,2,27,15,9,7,5
4106,21,15,5,21,11,3,29,3,27,1,4
4038,19,20,4,12,25,21,3,18,11,7,6
860,18,10,21,23,7,3,17,5,17,17,6
912,21,23,27,21,1,28,15,21,27,6,6
874,8,19,16,3,1,5,7,27,5,7,8
4665,5,14,15,9,30,23,29,5,19,20,5
2216,18,23,7,25,10,18,29,5,1,6,4
3972,25,3,13,13,6,19,3,1,29,6,4
534,6,9,25,29,26,27,19,3,7,18,2
4271,14,17,25,21,6,30,24,9,5,11,3
4047,27,4,29,5,17,21,9,13,1,29,3
369,15,1,22,13,15,8,14,16,3,5,3
1055,25,15,6,2,7,7,20,5,7,21,3
4845,27,9,9,25,8,23,5,9,14,16,6
529,9,27,15,14,17,19,18,29,21,21,5
1428,11,3,6,6,21,6,19,16,13,27,3
3497,5,21,2,8,5,3,27,4,23,9,5
4748,19,12,5,5,21,7,23,27,1,28,3
331,7,1,18,15,7,21,4,12,20,21,4
759,30,5,3,22,3,27,9,1,16,21,3
4578,30,7,29,9,1,15,10,14,23,14,4
4878,18,25,3,27,11,15,1,23,19,19,4
82,11,4,5,1,15,12,29,25,29,30,4
2678,14,9,19,5,30,15,30,3,13,16,7
1131,9,23,5,21,29,2,13,4,21,17,7
4583,5,23,7,5,16,8,23,1,23,3,2
3425,4,10,21,6,9,6,5,12,8,5,5
2964,5,3,11,11,27,23,3,1,16,17,4
1396,28,26,23,19,7,3,4,3,15,6,7
372,29,30,9,23,23,13,27,19,5,5,6
1472,29,23,1,25,18,19,11,23,12,29,8
1320,17,27,15,15,3,10,29,23,14,1,4
3627,13,5,27,1,8,4,18,15,7,22,2
4943,7,11,10,17,5,16,17,27,17,9,4
4703,11,21,8,24,3,23,10,17,23,4,3
4147,7,11,17,5,9,1,14,25,6,17,4
444,9,11,5,11,19,19,13,25,14,1,4
4013,17,10,10,1,4,12,23,3,7,5,2
804,18,17,5,6,25,18,21,3,29,11,5
4177,14,10,9,18,13,12,26,7,1,5,5
436,5,11,7,5,1,13,3,6,11,23,4
740,1,19,11,3,9,7,15,3,19,6,3
4970,8,1,6,4,15,5,24,27,19,3,2
754,12,3,11,1,14,13,14,29,17,15,6
781,4,14,13,7,23,16,13,17,3,7,4
542,8,17,8,15,30,13,28,3,29,14,4
2596,17,20,27,30,21,15,15,1,23,17,3
1455,18,1,19,7,21,8,27,9,20,25,5
3236,1,17,4,10,5,8,9,5,8,3,4
2230,8,13,9,3,1,29,24,16,7,5,2
417,5,23,15,22,12,25,7,21,6,1,3
1836,17,12,3,19,30,19,6,1,14,22,4
2854,23,6,15,21,2,8,11,25,5,11,3
1047,6,4,1,7,27,7,10,11,25,8,4
2563,25,27,5,16,6,7,15,6,29,3,3
34,15,17,13,7,6,21,19,7,11,15,3
2926,1,17,12,3,26,21,17,12,30,20,3
1344,7,3,17,9,14,6,19,7,12,29,3
3634,6,5,20,29,18,5,3,23,7,13,5
4790,24,25,9,18,6,15,4,23,20,11,2
4247,4,7,15,11,13,19,3,13,10,25,4
1457,27,11,1,19,16,3,23,3,25,8,5
3654,13,8,25,1,9,5,9,27,3,6,5
1799,1,17,4,23,17,30,6,5,13,3,3
4510,5,21,9,16,8,25,29,1,17,17,5
1821,21,23,15,28,3,13,23,17,4,1,3
4946,23,23,1,20,15,19,7,28,16,27,3
3554,6,8,1,29,3,4,7,15,15,11,4
1653,1,15,6,4,30,11,5,11,10,20,8
2774,29,19,28,5,15,4,7,3,8,8,4
3557,19,3,11,14,10,1,9,25,29,17,3
1342,27,16,9,3,2,13,8,9,12,21,3
4312,9,26,16,14,21,5,3,11,15,29,8
178,25,15,15,1,29,12,17,9,3,7,2
2081,12,23,16,17,6,4,7,18,13,23,7
2685,21,17,14,7,25,18,13,25,29,11,7
4099,21,29,8,24,5,11,3,17,7,7,5
4758,9,1,23,19,21,4,21,13,2,23,5
2607,17,5,26,29,12,27,6,16,12,8,2
1861,14,5,6,7,27,9,15,6,23,24,3
187,14,13,9,23,12,15,24,1,19,7,2
2504,8,27,7,29,1,12,13,6,25,9,2
4428,4,27,25,1,19,8,7,17,5,8,4
1693,15,8,21,19,29,5,9,27,9,11,2
2451,20,27,9,25,1,7,29,25,24,4,3
887,26,27,27,13,8,4,1,3,3,17,2
429,2,29,10,11,27,26,19,9,8,18,4
3856,5,28,5,1,8,14,23,14,21,28,5
1762,15,10,21,13,17,29,27,15,21,11,3
3549,5,5,21,23,1,3,4,3,25,13,6
1670,27,9,1,11,8,9,11,19,23,17,4
1908,8,3,1,9,15,28,29,3,14,22,2
4653,8,17,9,21,1,10,25,10,17,17,6
2482,17,5,19,15,26,10,18,1,23,13,3
2274,24,9,22,27,17,14,5,7,29,16,4
2899,5,23,25,1,5,9,13,14,27,14,8
3602,4,15,21,8,11,25,29,3,19,17,4
3427,17,29,9,21,19,10,22,1,3,13,4
2405,9,21,11,14,1,4,10,5,7,23,6
590,3,21,28,5,30,27,29,1,28,7,5
560,7,9,15,18,14,25,21,29,11,7,2
3928,12,10,21,5,5,28,3,20,1,25,4
4075,15,11,29,7,6,13,8,8,7,16,5
3303,17,7,18,10,27,2,9,15,13,5,3
727,3,14,30,14,1,17,18,17,5,11,3
2003,7,9,9,11,28,5,25,25,12,19,5
8,7,19,1,5,27,11,6,5,17,21,4
4813,11,10,1,15,7,9,27,30,4,19,4
1703,22,11,17,13,27,8,1,14,19,19,3
3380,13,9,19,23,14,25,5,16,3,14,2
1560,27,9,15,12,24,18,18,2,1,21,5
609,29,7,28,21,8,3,1,27,21,8,5
4019,1,23,25,3,27,9,6,12,25,28,4
3455,21,25,20,4,5,6,23,4,21,13,2
214,11,7,9,3,12,3,11,13,29,13,3
4299,12,23,19,5,16,21,30,1,5,17,3
2163,29,5,7,7,29,9,9,15,27,4,5
4377,7,27,1,19,14,17,10,3,11,5,5
1730,2,1,15,27,3,21,29,14,13,25,5
3797,6,13,1,27,4,19,5,26,14,27,4
2197,7,16,3,27,9,11,9,18,20,23,5
3616,26,1,3,11,13,20,8,14,7,9,7
4061,3,8,7,6,11,27,9,5,29,22,7
1359,11,6,23,21,29,4,20,3,12,10,8
2690,5,5,17,1,3,13,23,17,21,7,6
4818,18,21,1,17,25,5,7,4,22,27,4
1767,12,14,8,25,25,6,30,8,17,28,4
1313,27,29,18,23,9,13,14,5,5,11,2
1727,29,7,28,23,18,29,7,9,15,27,5
3325,14,9,29,16,8,15,4,5,23,13,4
4088,9,29,18,1,21,19,29,4,5,27,4
4829,16,6,1,10,7,24,29,9,21,5,5
4118,6,11,9,4,13,8,14,25,9,9,6
3443,26,26,3,1,27,3,5,25,10,25,3
144,10,3,5,1,9,27,19,19,5,17,4
3671,9,21,25,4,23,5,27,16,6,20,2
2756,21,7,9,29,27,29,19,16,17,23,6
572,20,30,11,6,25,29,23,21,26,1,4
2542,15,19,2,3,24,21,10,26,1,18,2
4457,29,5,23,7,1,27,7,21,16,10,4
3581,17,10,5,1,27,12,8,8,9,23,3
2898,9,26,9,4,1,23,21,5,5,29,8
2645,14,27,7,2,10,27,13,25,21,5,4
3562,15,3,4,5,3,1,13,8,27,20,3
701,4,23,22,21,17,1,7,3,9,11,3
3895,1,9,4,25,21,3,16,27,5,23,4
250,1,4,17,5,25,7,27,23,3,3,8
857,5,29,10,9,9,4,12,19,3,29,6
4466,13,8,3,16,18,27,21,4,9,7,2
1220,17,25,19,17,26,23,25,1,13,5,3
4327,11,5,9,1,6,13,6,23,13,7,4
167,29,28,1,8,8,23,3,26,6,5,4
6,27,3,1,3,28,11,13,18,10,30,2
2584,10,29,6,25,7,2,5,13,14,11,4
1382,3,21,17,14,15,11,3,13,25,5,4
28,25,10,17,8,15,21,11,2,4,17,5
4937,16,19,1,17,13,6,23,4,16,6,4
2716,27,18,5,25,11,23,8,21,23,7,2
964,1,23,7,23,17,3,9,7,10,29,2
4471,13,23,6,27,17,4,19,9,3,14,7
3811,4,5,19,29,20,10,11,9,19,17,3
395,4,7,1,7,25,7,19,21,6,29,7
3845,14,15,13,4,26,7,17,9,15,17,4
269,10,15,8,1,11,6,14,19,8,7,5
522,11,1,3,19,13,30,5,23,5,16,2
3309,5,8,5,25,17,9,13,14,22,7,6
1883,10,21,9,11,11,21,3,15,17,4,4
2126,19,23,4,25,9,14,9,7,3,6,4
2285,25,15,9,3,8,1,6,23,24,29,5
766,6,17,25,8,29,3,7,15,19,29,3
882,15,24,21,29,23,12,3,13,10,1,3
2865,21,27,5,5,22,28,7,22,5,15,3
4000,21,3,13,1,14,6,14,27,29,10,4
4989,19,28,11,6,13,23,19,16,24,5,6
2636,1,25,17,6,18,9,19,3,27,3,2
3863,7,1,3,27,5,2,16,5,19,23,4
4281,7,7,15,7,17,13,28,13,19,10,4
4418,14,7,5,15,11,13,1,13,3,21,5
976,7,25,14,27,29,3,15,17,3,5,4
1324,15,25,11,19,9,27,10,28,12,17,4
3045,5,15,21,20,10,7,10,23,11,23,3
4833,17,21,23,4,14,27,27,29,9,1,4
1937,22,23,1,24,23,17,5,6,17,15,4
4383,16,1,26,19,19,13,6,3,25,25,8
4361,9,5,17,27,11,23,8,7,15,28,4
2329,24,17,15,7,3,15,29,3,5,5,4
371,9,11,28,8,7,19,11,1,20,5,2
4780,21,8,27,24,12,9,7,17,17,15,4
4309,3,21,13,1,6,10,7,13,8,23,5
4616,21,28,15,14,17,26,15,7,30,20,3
2732,9,1,27,21,10,25,5,23,3,5,4
972,28,7,7,11,5,11,9,15,21,15,5
3462,27,3,11,24,5,9,10,29,21,19,3
399,3,11,7,13,27,17,4,25,15,10,2
4859,29,17,15,6,14,14,13,21,8,1,2
1166,12,18,25,16,10,1,15,11,13,25,5
3706,23,12,9,3,5,12,1,6,7,4,5
3087,29,3,13,25,9,9,13,8,15,21,3
4671,4,7,6,19,12,10,5,23,19,15,4
2602,16,1,9,4,23,17,5,11,25,21,5
2558,12,26,4,15,11,2,27,6,23,5,6
2810,12,29,23,5,13,6,11,2,4,28,4
1631,7,5,3,23,14,19,9,23,9,13,3
4282,13,3,5,7,17,1,4,17,12,29,5
2883,23,4,19,6,7,16,15,11,24,9,2
1540,30,8,21,24,3,15,17,25,3,1,3
997,16,27,19,9,29,5,17,3,1,22,2
859,9,4,13,9,3,12,18,26,11,4,5
4459,8,13,11,19,20,21,23,1,28,8,4
1039,21,27,5,15,11,23,9,8,11,2,4
4525,19,25,21,21,5,14,16,8,15,9,2
420,19,3,5,1,30,8,16,19,7,7,2
29,27,4,1,25,25,21,17,5,9,23,4
1895,29,7,15,17,14,26,11,23,9,10,4
2299,6,11,25,15,21,19,1,23,8,5,3
3378,13,15,5,23,27,8,22,17,9,6,6
4932,14,7,17,19,23,19,29,29,13,27,3
1567,12,25,27,18,13,8,10,17,7,1,7
3580,11,3,7,1,9,18,7,20,27,18,7
4519,3,15,7,27,1,25,21,28,7,5,6
1315,11,2,17,10,13,17,3,7,1,12,4
2367,11,18,23,9,6,13,19,2,11,17,4
2893,6,7,9,27,12,29,29,11,1,23,4
3176,10,5,1,21,19,26,26,11,17,21,2
1599,27,1,3,14,17,5,9,4,19,19,5
3154,14,11,21,22,14,17,6,19,4,22,2
3703,3,7,10,14,5,21,3,8,7,25,4
4251,19,13,29,16,25,15,5,20,1,21,5
869,5,15,6,17,17,25,19,17,21,8,3
1650,8,5,16,5,29,28,7,19,20,9,4
3433,30,4,4,24,23,18,29,9,21,21,3
4698,17,6,3,13,17,12,29,23,23,27,3
3751,17,17,3,8,10,4,1,27,13,15,5
268,13,19,16,1,17,10,3,21,19,24,4
1496,16,29,24,10,11,19,1,4,25,19,2
782,21,16,4,6,13,23,13,11,21,6,2
870,17,18,13,6,10,11,8,5,19,27,8
1702,30,23,4,9,4,18,25,21,21,29,6
2580,11,29,19,5,27,15,4,26,1,29,2
3830,4,29,14,7,15,7,25,12,11,19,3
3605,13,18,16,8,21,3,20,11,15,26,4
2642,3,21,8,25,11,11,5,3,2,13,8
1956,13,7,27,11,17,10,19,5,12,8,3
4212,29,8,23,15,9,12,9,6,5,26,3
1377,7,23,4,9,12,1,17,27,21,3,6
4452,5,16,7,7,1,4,18,9,3,17,4
3451,21,13,15,21,3,23,19,1,5,16,3
2675,27,30,7,11,19,18,6,3,25,27,5
3332,7,27,17,20,17,21,13,4,23,20,8
3716,11,10,8,19,17,21,23,4,29,9,2
499,15,25,19,6,5,10,4,23,26,7,2
4603,7,9,13,21,12,8,10,3,3,11,6
3665,9,1,4,8,7,9,13,15,25,21,4
3747,17,19,14,5,3,26,21,18,14,6,4
2180,9,10,8,25,19,29,7,22,23,11,5
1947,6,16,23,15,28,2,12,3,10,6,5
4111,11,3,1,21,15,26,6,19,16,4,6
1215,29,5,27,25,3,5,3,16,10,17,3
4762,8,18,3,29,23,4,17,17,23,15,2
4439,27,1,20,21,10,3,11,12,5,8,6
4556,29,17,9,5,11,7,9,7,15,5,5
724,25,29,18,11,4,19,19,6,7,27,5
2988,30,27,8,16,9,25,15,3,11,16,2
1897,11,12,1,19,4,27,11,30,23,8,4
3112,14,9,8,18,9,10,25,19,7,27,5
4344,23,9,11,10,17,27,8,19,7,18,4
1651,3,9,5,27,11,17,15,12,17,25,3
280,27,8,18,16,19,24,15,13,3,28,6
718,11,3,9,27,9,5,10,1,4,7,5
12,17,30,17,1,13,21,27,9,20,29,6
621,1,29,5,9,13,9,9,4,26,3,4
3886,20,23,27,7,11,29,1,15,9,19,3
2267,8,11,18,3,1,27,29,17,7,25,3
4183,13,8,29,25,28,10,9,25,15,16,5
1971,29,27,17,1,21,16,3,6,13,21,5
272,14,11,22,23,10,9,8,1,13,7,6
1579,3,27,7,1,19,21,8,26,6,12,4
1788,5,15,18,16,11,19,10,3,17,7,3
687,1,16,18,11,14,2,3,29,21,21,6
605,5,27,13,5,25,16,19,23,13,18,3
1268,17,12,14,29,29,16,29,10,4,2,8
2323,21,15,27,9,3,6,1,6,12,9,4
3059,9,5,14,16,12,22,21,3,11,30,6
4414,25,7,12,1,29,9,6,5,19,21,7
2909,25,29,14,2,16,17,3,27,12,13,8
576,25,3,23,21,9,1,9,22,11,17,3
3855,23,1,10,5,13,17,11,10,7,15,5
3681,7,7,5,25,3,4,1,19,4,25,3
2555,19,15,13,23,5,25,4,1,7,3,5
4507,11,10,1,25,5,3,17,10,21,19,4
1343,12,4,9,5,1,7,8,26,27,6,3
2467,1,13,11,27,25,22,28,21,5,11,4
3337,1,29,11,13,6,27,10,16,3,12,2
968,2,7,21,4,15,19,25,17,8,18,5
3857,3,22,18,27,5,27,17,15,2,21,4
3366,6,5,16,3,10,18,30,22,1,3,4
4912,7,4,19,8,17,10,9,3,11,5,5
2283,11,16,5,13,15,17,21,18,3,13,5
185,25,11,17,1,20,23,27,12,9,9,2
1896,15,20,16,5,13,21,7,19,8,1,2
2787,13,11,17,19,13,6,15,10,9,5,4
4765,21,5,1,5,9,17,17,24,12,11,4
682,6,3,20,15,8,5,17,9,13,29,4
1721,14,15,17,5,15,10,3,6,25,23,3
134,7,29,9,7,29,1,14,16,11,18,8
2557,23,29,25,11,16,24,26,21,7,13,2
4741,7,1,3,20,29,17,18,21,28,15,5
4254,11,13,18,1,21,9,21,11,3,13,7
1879,3,9,29,28,3,3,11,13,10,27,4
2878,19,7,8,19,16,7,4,1,27,16,2
1394,13,17,4,13,27,7,1,18,30,19,7
2772,28,10,15,21,9,12,29,7,16,17,5
3673,11,19,25,26,13,10,7,22,3,25,4
4490,22,25,9,17,14,3,2,7,3,17,7
2620,1,27,24,5,12,23,25,15,2,21,4
4966,7,19,27,15,13,11,10,17,19,6,7
4941,9,13,1,19,11,25,16,9,8,13,5
1934,9,3,7,15,18,29,13,17,15,25,5
40,9,25,25,4,23,11,9,17,4,5,6
1335,27,7,22,13,11,13,5,1,21,8,4
940,11,23,23,15,27,3,5,15,10,25,5
2997,1,12,23,27,13,10,19,10,6,11,5
3600,17,13,4,3,27,7,11,16,17,19,4
3333,11,29,17,13,13,18,8,8,15,7,5
4107,29,27,13,4,18,21,1,19,25,19,3
4465,25,1,4,4,9,7,15,24,4,5,4
4727,18,10,1,5,26,13,27,11,12,12,4
3480,11,26,15,4,24,11,11,14,29,27,2
2473,16,23,7,12,25,20,21,15,11,13,2
4957,20,1,19,4,17,23,27,21,17,29,4
2461,2,11,14,1,5,23,3,21,7,5,3
2831,11,11,19,17,7,11,3,21,25,13,5
1986,5,7,3,12,27,7,19,27,21,9,4
4043,8,13,25,19,6,6,1,15,7,7,5
1652,8,12,13,23,23,8,1,17,7,12,3
1148,9,14,12,17,7,17,20,23,16,15,2
3192,9,1,18,11,7,16,4,21,15,8,3
4185,6,13,4,8,17,17,19,15,23,21,2
186,16,2,19,27,25,1,7,11,3,21,4
1862,9,5,1,13,12,7,26,7,11,11,3
926,11,7,17,23,19,14,19,5,2,13,6
3424,17,18,25,23,1,10,9,11,29,3,4
1605,1,3,4,9,9,19,17,5,19,21,2
4502,16,8,29,9,29,7,1,5,15,14,5
467,3,9,4,11,8,6,9,10,6,5,2
2749,11,7,17,1,13,7,9,3,13,19,7
1401,5,27,1,3,9,17,3,22,10,15,4
164,7,1,5,8,15,23,3,5,5,20,6
2697,7,11,5,7,14,25,3,10,23,24,4
1470,11,29,1,27,9,17,8,8,21,10,5
2483,3,26,11,15,9,18,7,25,9,29,5
3109,7,9,11,24,17,1,23,24,13,25,3
1808,11,17,14,6,1,20,14,17,23,11,8
384,3,23,5,4,9,25,19,13,1,7,4
2106,6,8,9,1,15,8,17,25,2,9,4
296,13,16,11,18,5,7,8,6,14,8,3
4394,14,3,15,14,6,7,12,1,15,5,2
1456,9,5,1,4,18,15,21,13,8,2,5
3571,8,3,17,27,1,18,24,13,4,4,8
4386,25,10,19,12,21,23,20,18,1,17,3
2466,21,12,29,17,27,1,29,9,13,19,5
2206,12,25,10,15,19,18,7,13,8,9,2
4877,5,13,11,25,4,23,2,30,27,19,4
893,20,11,1,5,13,17,25,27,13,7,6
1116,23,9,21,17,28,19,17,8,1,14,4
4633,17,16,18,5,19,11,8,29,6,7,2
4437,21,15,19,20,29,28,5,23,17,18,2
3896,8,3,18,11,17,12,3,5,15,12,4
961,17,18,27,28,9,5,17,5,5,18,6
1147,15,20,3,7,18,5,21,1,9,7,6
2301,1,15,3,13,4,3,8,25,14,19,4
1270,17,26,10,4,6,25,3,10,15,29,4
4955,7,25,15,11,8,1,14,7,4,3,5
4858,18,17,29,13,19,26,28,19,23,27,2
1854,6,16,29,13,7,2,9,8,27,12,4
1593,1,21,29,19,11,17,16,5,16,21,7
1495,25,25,4,10,17,9,12,11,1,4,2
1849,8,25,16,1,28,8,14,28,2,13,2
1552,9,13,7,11,8,30,1,27,12,9,3
4839,13,3,7,12,13,11,11,19,10,5,7
3394,19,9,18,20,3,7,1,9,22,29,6
1942,14,27,20,22,9,11,6,15,1,3,4
896,10,5,12,6,3,17,1,22,3,19,8
3202,13,7,13,3,1,25,5,15,15,9,3
393,12,3,1,10,29,17,16,17,5,15,2
4125,21,19,1,15,25,5,7,18,29,25,4
594,1,19,29,17,11,19,18,16,23,21,7
2105,10,5,21,27,4,19,25,12,5,3,2
728,5,4,29,24,25,29,21,13,17,4,7
654,5,27,7,19,2,4,6,29,13,25,6
146,20,19,14,12,21,29,29,25,26,9,3
1247,25,4,3,23,23,19,24,17,27,6,2
135,3,11,7,2,27,5,27,1,19,6,6
3798,27,17,11,8,12,6,21,14,29,13,6
1935,10,29,21,21,9,23,8,5,3,15,5
693,4,10,23,23,19,11,1,11,7,9,5
405,17,27,9,11,15,1,30,24,18,8,3
3530,27,3,16,6,9,5,23,12,7,18,2
2223,9,19,11,12,19,3,20,19,27,1,5
2395,9,17,28,9,23,15,1,9,19,15,5
771,15,28,4,18,25,1,13,12,17,21,5
4634,1,3,16,20,13,17,14,11,5,15,3
4188,5,4,8,29,13,11,15,10,1,16,2
3295,5,25,26,21,24,7,11,7,14,15,7
353,9,3,29,1,25,5,12,25,11,7,2
1993,21,19,9,7,1,9,27,23,23,13,5
1417,23,15,5,17,13,24,5,3,21,15,4
3023,12,18,13,14,16,22,21,15,16,24,4
54,29,22,23,9,9,16,13,25,10,22,3
2989,12,27,27,13,8,15,1,17,9,9,2
4135,29,17,4,25,28,8,7,27,6,28,5
4773,15,19,9,28,23,8,19,8,19,13,4
4888,2,10,3,5,11,18,13,6,8,13,3
4422,22,11,15,19,7,1,27,5,6,17,2
820,11,28,17,4,22,27,29,19,9,18,2
1660,21,11,14,10,7,13,7,20,4,25,2
3710,23,22,19,1,3,19,11,23,18,9,4
2966,1,10,25,23,7,17,19,3,5,9,5
4573,18,9,19,29,25,25,3,7,15,21,4
3949,13,3,19,23,15,13,25,26,4,5,3
3738,25,21,11,13,4,13,5,12,8,1,2
762,27,29,7,24,12,3,9,23,21,1,4
3905,19,18,21,14,13,14,15,8,23,3,3
3245,16,6,17,11,4,11,5,11,19,1,5
1221,1,25,24,17,14,5,19,5,10,7,5
4313,11,27,5,24,26,19,3,8,23,17,6
4339,23,7,29,3,26,19,30,4,26,7,2
901,4,3,9,27,13,1,15,17,11,9,5
4775,17,4,9,30,5,5,19,23,19,29,6
3626,14,4,21,3,3,7,10,12,15,9,5
2530,3,11,3,9,24,29,25,12,23,13,5
3743,25,7,14,9,8,20,29,5,11,13,4
2069,7,29,9,7,26,6,1,5,4,9,5
1931,1,3,17,13,11,5,17,23,15,19,5
4731,13,29,5,8,27,7,11,15,22,23,2
3760,29,9,5,3,25,30,5,25,15,19,5
228,27,9,3,25,17,5,10,9,11,1,7
4650,1,17,9,30,21,23,19,3,23,29,4
2465,1,11,10,27,9,4,7,3,15,3,5
